	SRX4240060	SRX4240061	SRX4240062	SRX4240063	SRX4240068	SRX4240069	SRX4240070	SRX4240071
AT3G47780	18.1687219587991	22.1370955002087	7.60859652608314	21.3851594882911	11.4557113376191	15.9336323769602	12.7087092187852	13.091185550611
AT3G47790	11.0575597091952	13.9463789483137	17.8954302995723	10.9086021086795	10.3926278705809	9.17777802913098	10.8964685067125	15.8351080146894
AT3G47800	16.7974976600218	23.5206639689718	17.753391894194	15.176564798142	17.1835670064287	19.3479821720231	19.7691032292214	11.7820669955499
AT3G47810	84.1263936211013	117.616190826306	103.29558191286	83.9906222806508	86.890872766363	136.661495673027	72.2960890342888	111.284564653298
AT3G47820	13.7122429877729	27.6713693752609	31.7024855253464	7.58828239907102	3.43671340128575	4.5524663934172	7.06039401043621	3.9273556651833
AT3G47833	19.5399462575764	26.2878009064978	13.9490936311524	18.625784070447	40.094989681667	34.143497950629	22.5932608333959	30.1097267664053
AT3G47836	21.8011197864341	57.743122413469	42.8432629380732	30.8470495732471	22.7668200721195	53.1538752789872	33.675999403933	38.3164075761587
AT3G47850	23.3108130792139	23.5206639689717	24.0938889992633	22.7648471972131	24.0569938090002	27.3147983605032	26.8294972396576	30.1097267664053
AT3G47860	13.7122429877729	31.82207478155	17.753391894194	22.0750033427521	77.8988370958102	64.8726461061951	66.3677036981003	60.2194535328106
AT3G47890	56.10915709425	37.9688507010831	52.4523989006085	46.6518267974259	5.92303263858655	8.92371123324784	16.0621500405804	11.5475606531767
AT3G47910	101.137267892524	42.6583504327686	89.0409729301791	107.947838481809	39.877857197724	33.1072651925093	70.4937509667759	61.7185037581517
AT3G47930	35.5345360238522	40.2697691355801	44.5452945056009	30.4637920481061	27.5939446846431	15.9917237450899	20.792105789004	32.8472845783428
AT3G47940	10.9697943902183	13.8356846876304	10.1447953681109	6.89843854461002	12.6012824713811	4.5524663934172	4.23623640626172	5.2364742202444
