"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0042743";"GO:0042743";"hydrogen peroxide metabolic process";"15/1258";"45/14111";0,333333333333333;3,73900370959194;5,75725074236137;4,34096648930556e-06;0,000197572636972718;0,000178949087994417;"DHAR3/2-Cys/CAT2/CHS4/APX4/ATCRY1/ATMDAR4/GOX1/GOX2/2CPA/CS26/NTRC/TAPX/CAT1/LCP1";15
"GO:0030091";"GO:0030091";"protein repair";"10/1258";"22/14111";0,454545454545455;5,09864142217083;6,01883938776164;7,28293427852438e-06;0,000322748982237765;0,000292326087800051;"DEG5/ATMSRB6/MPH2/DEG1/LQY1/MET1/AtTLP18.3/ATMSRB1/LPA19/PSB27";10
"GO:0016122";"GO:0016122";"xanthophyll metabolic process";"8/1258";"15/14111";0,533333333333333;5,98240593534711;6,04001985009674;1,41917868126381e-05;0,000612794076730321;0,000555031014615724;"ABA1/B2/ATSDX1/B1/ATCCD1/AtLCY/NA/AVDE1";8
"GO:0072593";"GO:0072593";"reactive oxygen species metabolic process";"27/1258";"127/14111";0,21259842519685;2,38471890139329;4,90398741342809;1,60650536113265e-05;0,000676338757036845;0,000612585860074002;"HCF106/CSD3/DHAR3/2-Cys/CAT2/LLG3/CHS4/APX4/ATCRY1/ATMDAR4/DEG13/GOX1/GOX2/2CPA/CS26/RGL2/NTRC/AtSOD2/PSB29/LHCB2/LHCB2/TAPX/NA/LOL1/CAT1/LCP1/ATCCS";27
"GO:0008299";"GO:0008299";"isoprenoid biosynthetic process";"27/1258";"128/14111";0,2109375;2,36608828497615;4,85719060905281;1,86606473925595e-05;0,000766451956318785;0,000694204828544768;"ABA1/DXR/ATMYB96/AtOR/CLB4/AtcPT4/B2/CLB6/ATH1/B1/AT2301/ATTPS03/AtCLA1/DJC26/AtLCY/PIF1/ATNRP1/AtBAS/AtSPS1/ATGA2OX1/D27-LIKE1/TPS29/NA/AtSPS2/ATGA3OX1/HPD/AtD27";27
"GO:1900865";"GO:1900865";"chloroplast RNA modification";"8/1258";"16/14111";0,5;5,60850556438792;5,77017707647938;2,61638163884163e-05;0,00104904444757364;0,000950159647789854;"CREF7/HEMC/NA/AEF1/ATORRM1/ORRM6/DYW1/EMB3103";8
"GO:0042744";"GO:0042744";"hydrogen peroxide catabolic process";"10/1258";"25/14111";0,4;4,48680445151033;5,45890237653767;2,86950100986926e-05;0,00112377667456275;0,00101784748183612;"DHAR3/2-Cys/CAT2/APX4/ATMDAR4/2CPA/NTRC/TAPX/CAT1/LCP1";10
"GO:0042445";"GO:0042445";"hormone metabolic process";"23/1258";"104/14111";0,221153846153846;2,48068515347927;4,7414197109626;3,4631775621817e-05;0,00132545250334409;0,00120051298746442;"AtCOMT/RVE1/GH3.15/UGT76C2/ATHDA14/AtTAR2/AtYUC2/ATCKX6/ATIPT3/A-PUT2/ILR2/CYP90D1/AtPIF4/UGT74D1/ATLOG1/BAS1/CYP79B3/AtSOT1/ATCKX5/ATSOFL2/GNAT1/ATSOFL1/YUC9";23
"GO:0016108";"GO:0016108";"tetraterpenoid metabolic process";"12/1258";"36/14111";0,333333333333333;3,73900370959194;5,14779498821919;3,94998517238917e-05;0,00144603805006595;0,00130973192558167;"ABA1/AtOR/B2/ATSDX1/B1/CCD4/ATCCD1/AtLCY/NA/NA/AVDE1/HPD";12
"GO:0016116";"GO:0016116";"carotenoid metabolic process";"12/1258";"36/14111";0,333333333333333;3,73900370959194;5,14779498821919;3,94998517238917e-05;0,00144603805006595;0,00130973192558167;"ABA1/AtOR/B2/ATSDX1/B1/CCD4/ATCCD1/AtLCY/NA/NA/AVDE1/HPD";12
"GO:0042548";"GO:0042548";"regulation of photosynthesis, light reaction";"10/1258";"27/14111";0,37037037037037;4,15444856621327;5,13267656490965;6,27454311853722e-05;0,00224815544928015;0,00203624030879293;"MSP-1/HCF145/STN8/ATHDA14/FAD6/FIB/OEC33/ADS3/STN7/PSBY";10
"GO:0016114";"GO:0016114";"terpenoid biosynthetic process";"22/1258";"104/14111";0,211538461538462;2,37282927724104;4,39604583027133;0,000103011024765872;0,00354423620758531;0,00321015018426748;"ABA1/DXR/ATMYB96/AtOR/CLB4/B2/ATH1/B1/AT2301/ATTPS03/AtCLA1/AtLCY/PIF1/ATNRP1/AtBAS/ATGA2OX1/D27-LIKE1/TPS29/NA/ATGA3OX1/HPD/AtD27";22
"GO:2000030";"GO:2000030";"regulation of response to red or far red light";"14/1258";"51/14111";0,274509803921569;3,07917952554631;4,65356721590309;0,000103128013166081;0,00354423620758531;0,00321015018426748;"NF-YC4/BBX19/NA/BBX28/TCP2/ATCRY1/HYH/SPA1/BBX25/ATCOL3/BBX18/PIF1/BBX22/BBX24";14
"GO:0010099";"GO:0010099";"regulation of photomorphogenesis";"12/1258";"40/14111";0,3;3,36510333863275;4,68618261954267;0,000126060854315679;0,00424572957335208;0,00384551953480883;"NF-YC4/BBX19/NA/BBX28/TCP2/HYH/SPA1/BBX25/ATCOL3/BBX18/PIF1/BBX22";12
"GO:0010205";"GO:0010205";"photoinhibition";"6/1258";"11/14111";0,545454545454545;6,118369706605;5,31275773491874;0,000154675641443144;0,00500911115750489;0,00453694340994161;"MSP-1/FAD6/FIB/OEC33/ADS3/PSBY";6
