	SRX4240080	SRX4240082	SRX4240084	SRX4240085
AT3G15800	1.75378667310893	23.7514031723736	4.94495999862819	33.575784168804
AT3G15810	1417.05963187202	1577.59320018608	745.276114078963	1065.38545920244
AT3G15820	617.332908934344	397.523484674463	543.239176992154	498.471257275321
AT3G15840	3199.03041866018	4883.46535153403	2799.33792844844	4345.40370295922
AT3G15850	2613.14214293231	5162.80500536331	1831.04804520632	3318.83712745486
AT3G15880	377.124926791772	763.810075849455	612.016412105335	1063.45980319588
AT3G15890	67.5207869146939	111.256572754802	57.9266742696445	180.792683985868
AT3G15900	320.06606784238	325.019201306165	271.97279992455	300.890681205051
AT3G15920	508.59813520159	693.790987403543	441.514285591803	639.231275521461
AT3G15940	732.830510362437	376.5593998476	519.355207223049	305.731876880155
AT3G15950	5361.86256117272	2285.5972321014	5195.10198988301	3584.0731122567
AT3G15970	212.882338568061	359.624823557676	321.644708403042	383.066708775479
AT3G15980	683.94515102386	843.014572184458	877.031614668989	853.393143350496
AT3G15990	35.0757334621786	62.5036925588778	27.5504914209285	56.8205578241299
AT3G16000	3048.08123786332	2556.4010256581	3679.05023897937	2630.53355199438
AT3G16010	122.765067117625	167.509896057793	103.137737114245	108.475610391521
AT3G16030	125.000768293005	59.6546279735583	65.1931489787631	51.2329526473829
AT3G16040	0	38.7522893865042	0	49.0722999390213
AT3G16050	169.240413955012	25160.2364026507	125.743268536545	35268.7785167003
AT3G16060	331.465681217588	240.014179426091	416.083062741715	373.207754799399
AT3G16080	2982.17379975386	1614.93284362496	2826.95847148808	1478.33001633257
AT3G16090	209.577507436517	162.509600653082	209.101165656278	197.58057607027
AT3G16100	515.613281894026	723.792759831805	437.275748450121	517.841901988093
AT3G16110	310.420241140281	176.260413016035	246.541577074463	164.004791901466
AT3G16140	7592.14250788857	10103.096865217	12649.2076764909	10622.8615604839
AT3G16150	24.5530134235251	7.50044310706533	38.1468342751317	3.87412894255431
AT3G16170	187.655174022656	237.514031723736	153.293759957474	198.871952384455
AT3G16175	33.3219467890697	53.7531756006349	42.3853714168131	50.363676253206
AT3G16180	300.774414438182	91.2553911359616	327.073782766407	131.720384046847
AT3G16190	398.986468132282	793.796895497748	515.688685571226	909.128925186078
AT3G16200	271.836934331885	217.512850104895	246.541577074463	266.023520722063
AT3G16220	341.866332028993	240.2477215387	243.569654880877	194.725350872491
AT3G16230	462.947234832611	290.240020768876	479.455180804408	301.342836227608
AT3G16240	16539.9621140903	10611.8769226463	13410.7315162796	18390.4900903053
AT3G16250	1004.91976369142	1261.32451583815	1008.77183972015	932.373698841404
AT3G16260	268.561142079384	537.843180376586	272.046720667698	575.184138424943
AT3G16270	461.589471799889	828.028099307975	574.924997840954	1195.55646875806
AT3G16280	50.9747661841265	12.7144491435932	42.9832916890326	19.1047778572604
AT3G16290	941.783443459497	708.791873617674	1181.13901681519	618.569254494505
AT3G16310	313.050921149944	375.022155353267	351.798582759548	464.895473106517
AT3G16320	7.48084005833396	17.7741164022481	20.0884804953802	28.8086658922536
AT3G16330	7.01514669243573	41.2524370888593	23.3119542792472	81.3567077936405
AT3G16340	144.936253171544	72.5619024575908	194.600410662868	88.1461276974514
AT3G16350	50.8598135201591	60.0035448565227	83.3578971197324	45.1981709964669
AT3G16360	9.97212253913642	27.7511384054718	22.2165976951905	14.3340182640935
AT3G16370	3662.78346678801	1881.36114602222	3070.11373629116	1801.46995828775
AT3G16390	23.2463129715238	18.3904758720291	13.1638941376133	9.21689880298368
AT3G16400	5988.11506110374	6080.87957415202	7075.03127955565	7690.23297012075
AT3G16410	91.1969070016645	37.5022155353267	112.321234254555	19.3706447127716
AT3G16420	8308.34346729025	6176.19919462834	9310.91589516678	7067.26243978711
AT3G16430	666.01076397739	380.009118114959	702.606491738377	390.161903651695
AT3G16440	15.9767717924779	53.1048723779457	26.4567335644498	49.7562529101833
AT3G16450	3961.42040538533	5343.19867117288	5578.92058864333	7086.64246860605
AT3G16460	4512.51586453336	6474.12159316691	5169.59377778218	8990.54678751829
AT3G16470	1585.20628181343	1596.2317759111	1636.10559426726	2026.28774912392
AT3G16480	335.850147900361	338.770013669118	464.82623987105	426.154183680974
AT3G16490	16.6609733945349	2.50014770235511	16.9541485667252	9.03963419929339
AT3G16500	342.568879165858	593.570780208774	238.273049817654	591.206697881758
AT3G16510	22.7992267504161	32.5019201306165	32.4954514195567	29.7016552262497
AT3G16520	2595.95499825794	2861.64650511446	2053.82094450981	2794.34085431803
AT3G16530	106.10409372309	86.2550957312514	192.853439946499	161.422039273096
AT3G16560	331.859416570872	156.643682185891	253.145191633651	99.7754707582738
AT3G16565	133.174813446215	44.4079078581628	125.682390802588	76.8059063110432
AT3G16570	849.777221906558	1291.15184153103	1070.26839218964	1854.15279182207
AT3G16620	123.64196045418	100.005908094204	144.816685674111	94.2704709354882
AT3G16630	694.408836453857	496.214515943359	717.631903751795	651.108689721682
AT3G16640	45185.4367393151	62706.2045227686	29263.5668490247	68879.4298459873
AT3G16650	42.9677734911689	21.2512554700184	36.0275657042911	21.9533973411411
AT3G16660	345.296544072295	183.666735892064	258.4325548602	205.167248392476
AT3G16670	4.38446668277233	10.0005908094204	26.8440685639816	20.6620210269563
AT3G16690	215.471414339469	162.04593769213	188.500612507102	181.444151750665
AT3G16700	41.4625981829137	8.1526006944551	62.4399363589179	5.01458150937498
AT3G16710	9.9849519337512	22.1460785081358	19.7259956069042	10.1679045995005
AT3G16720	163.102160599131	45.002658642392	139.165302818536	25.8275262836954
AT3G16730	50.859813520159	41.2524370888593	94.6606628308825	49.0722999390213
AT3G16740	327.95810787137	331.269570562052	292.45906277601	282.811412806465
AT3G16750	201.819329233708	60.0464007867082	198.988124410053	49.8455524607253
AT3G16760	387.440230573397	529.186748444471	542.976414603545	848.642101472122
