	SRX4520740	SRX4520741	SRX4520742	SRX4520743	SRX4520744	SRX4520745	SRX4520746	SRX4520747	SRX4520748
AT3G03920	1329.70001895108	1107.17041348458	1308.07656127719	582.972467652802	239.230542735121	381.458709673254	311.906572286897	295.916984258811	777.4146171228
AT3G03940	1087.3614873986	1121.0325919032	1194.15707275377	936.676134892633	1351.4679177335	1136.99155443113	1081.41788703179	1017.05069609281	932.563656311035
AT3G03950	290.412500941286	336.777189477989	310.197818526996	412.725523717941	398.333182444644	330.287796491771	775.671556755088	757.77571083596	564.374657968524
AT3G03960	1011.13495720724	1030.46650316733	1139.36922679974	854.533568295641	577.457344449478	795.933037196592	584.933790050564	578.547208689865	783.497594099442
AT3G03965	23.7421422497918	26.8902134007136	43.3565023605143	24.6138057138806	20.5559134479852	26.7020895219372	16.1477560122973	16.1668148229824	8.46825902865152
AT3G03970	69.4526371161962	53.4886248671842	66.8959558910636	89.7489168785288	50.5133737245843	60.9939944659129	50.859172091596	43.850383549319	68.7705927101468
AT3G03980	187.72499657407	179.41491490727	178.836595150476	159.427632516436	126.995665896358	227.728177728655	148.170781572963	193.79626723401	170.736991977357
AT3G03990	772.322576030275	877.455727001485	919.876916030557	438.20916228461	659.787950439373	503.540680603664	259.230383279872	205.82851697102	228.381553416463
AT3G04000	31.8041492060411	13.2379875580578	32.2311351392542	22.5554661734918	53.4712423505432	23.8697974418574	395.633511754794	457.377874342881	226.584426513728
AT3G04010	47.3977857991703	64.6473265855483	49.0515680319184	25.0264339005188	18.4859530395919	9.80619805903457	100.016035242557	73.6151697451408	41.693706739453
AT3G04020	83.4171662820479	78.9885838765822	72.628156512181	77.3546999524152	69.1765265871108	72.6579718436922	103.765764527407	152.832718432666	88.5476474295708
AT3G04030	98.2945727761389	69.8266762402304	83.394836529991	75.6720147227105	185.858993510074	111.349607961394	195.185899321862	137.909925731254	92.6642909941177
AT3G04040	33.5071950009727	17.3443909899883	19.4117178129138	6.70557316268755	6.43740086252649	8.44408964397058	36.4067212239606	41.9749411868863	15.6362751231555
AT3G04050	1.85717371514488	1.54713728869426	1.73029389312934	2.26655279828273	13.1328724914857	7.01153368933574	16.8018282269612	16.6964479145944	6.92580166594374
AT3G04060	42.8531782673865	41.1189464648063	45.9918908201618	16.9626870851691	23.5666192222432	25.2558859986827	113.247338398017	102.285073291891	28.6381916136125
AT3G04070	69.9127256243921	9.1143656332738	17.8395669214118	24.4057049459097	30.8363643343534	19.249017097664	28.7943184338272	11.9925564452623	84.7003628219425
AT3G04080	415.001520561035	388.752703119902	388.212498926517	287.749913799217	282.494700796235	257.77602615614	264.219365945191	220.823040846392	288.829898083192
AT3G04090	716.9821738898	756.554549686596	651.10642401989	562.522769795362	653.001301236012	683.874179091042	728.260047191804	591.568718583048	605.642057653076
AT3G04110	133.935073130247	192.178203630975	160.109380425432	117.240084308156	264.170419932834	163.227686436731	228.825003684433	222.088756462181	101.081526513391
AT3G04120	4222.63935924728	4742.98814579189	4829.35994673979	3202.49985447909	2572.57839855833	4196.14518284848	4557.31907969957	3848.2552165023	4060.06198523373
AT3G04130	52.730853592604	59.7877000133557	82.0897192444358	47.6701643397368	70.5992601257136	45.7220191003312	92.097036769764	91.1725531691186	98.5879701094284
AT3G04140	84.2088811068247	95.3066267983746	87.6570599889415	224.317143253944	494.526073568567	417.354378334725	357.132312365229	280.107212571269	197.717470330582
AT3G04160	151.644268479429	164.171168179749	126.098312150531	219.922155946612	229.671722007112	206.563736018424	276.954124078577	320.329393537593	393.134225570394
AT3G04181	4.14702466032723	10.2577773647918	0.959179395949144	3.17701936219148	7.13637813434572	1.39776809015084	10.0227618169039	10.7219122160567	3.73063508905426
AT3G04210	1060.32542431009	1598.15820137411	1372.14660742784	1100.51985915685	1539.59734327583	1047.89215067217	117.713844997982	93.2742471617659	42.226928064179
AT3G04230	155.814369916482	143.20221645896	148.812880671627	117.517826088137	78.6971433723874	128.022833758859	139.523300157421	165.82347622112	121.336827295675
AT3G04240	1177.10372380645	1273.83836719905	1267.43799586053	905.984583877532	1174.37029658929	1074.3479080683	1791.62097345086	1734.54927661859	1752.67393438945
AT3G04260	1230.68734375618	1171.94043502572	1439.97921253181	1021.9907461158	1034.89412353519	1488.50973612917	849.451674726679	829.428492841825	672.990000275666
AT3G04290	1035.86357495686	841.821897580567	1150.31422076569	410.260582421321	9.1615399055218	305.5026584084	0	6.66537160403257	278.304820611461
AT3G04310	91.1438317735973	84.4900267379852	95.3067242422816	143.284308619941	164.421780907886	177.51722222312	151.928489117792	152.524389042431	100.170591796842
AT3G04340	1428.15707628516	1594.31777869694	1782.37871984536	1631.59928934619	1841.19747884212	2148.19194631963	2068.63540106674	1789.29211753202	1323.61787978537
AT3G04350	283.434165724703	281.760085957386	252.589310832282	211.543248119973	335.456465510512	293.554242511883	423.077432151409	407.383429209944	420.36461438563
AT3G04380	56.0191538137218	55.7628347180887	56.7328162326328	82.7872627550617	66.7220632078949	66.2812566764894	78.7615821986481	62.7843921385224	68.7618255411657
AT3G04400	5894.96645079191	5530.35041774784	5785.97610890138	3469.46003989199	1536.11584024773	2747.63405825384	1746.53908875041	2064.42938714077	3022.73930505883
AT3G04443	44.0301743832539	44.3909967724041	75.7186059417946	101.202723153391	85.8271048947698	66.045511803998	95.1566790137256	135.707788136109	133.17683570842
AT3G04450	62.4423146912871	49.9112589408194	42.1362449576011	135.784688740744	134.817220814021	101.481157314085	86.6771831200176	121.894467758539	96.9203829357684
AT3G04460	165.479812706391	177.879849245666	182.97772907959	189.759701447831	252.651322753274	196.626568356428	212.355778001825	207.657148336374	217.221023729984
AT3G04470	692.968229553432	656.067305249597	708.633804437959	437.40415238627	470.967771780191	533.545427728699	356.164793781344	356.061700281009	451.216554231801
AT3G04480	438.472048281882	543.644964520621	589.810772948344	390.433418896887	343.624997468171	365.567990174463	376.011328256306	299.025232127166	335.723777840335
AT3G04485	23.5004857807989	19.791727345146	17.7235553578744	21.1697943387547	24.3565274125918	16.9006426772495	13.4942280688338	25.3628924113785	17.5432652904142
AT3G04490	335.493119259635	380.106659307293	364.516571288433	286.668737845748	470.593235737419	419.534478148129	431.303903086155	363.437452312949	386.57003712754
AT3G04500	287.183033530787	316.737717009376	309.741749751501	358.682251163365	340.26152495288	416.829398308383	536.082879867969	458.822145228106	389.163010537132
AT3G04510	64.657028223675	38.0404702254255	45.1597091126053	47.2362997409594	0	18.2003427237262	4.17492516054978	1.10702696355571	148.346635417755
